Type,Time,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA
Normal,525.609,,254.673,852.551,1.05626,5,96,,204.82,460.238,0.800288,3.9792,91.1625,,460.775,1306.29,1.36512,-1,-1,,202.77,232.869,0.651938,3.9792,90.375,,462.778,1078.92,1.25951,-1,-1,,413.599,686.607,1.01941,-1,-1,,669.899,1532.66,1.55556,-1,-1,,6,6,413.599,686.607,1.01941,3.5,3.3406,413.221
Normal,535.914,,254.673,852.551,1.05806,5,96.3429,,203.335,456.935,0.799099,3.94899,91.92,,459.287,1302.99,1.36573,-1,-1,,201.3,231.217,0.65135,3.94899,91.2,,461.29,1077.27,1.26071,-1,-1,,414.18,681.652,1.07119,-1,-1,,666.91,1527.7,1.55556,-1,-1,,6,6,414.18,681.652,1.07119,3.2,3.51666,413.221
Normal,545.843,,254.673,852.551,1.05645,5,96,,204.657,459.876,0.800158,3.97589,91.1625,,460.612,1305.93,1.36519,-1,-1,,202.609,232.688,0.651874,3.97589,90.375,,462.615,1078.74,1.25964,-1,-1,,413.27,686.064,1.01922,-1,-1,,669.572,1532.12,1.55556,-1,-1,,6,6,413.27,686.064,1.01922,3.5,3.38535,413.221
Normal,556.121,,254.673,852.551,1.05903,5,96.4571,,202.539,455.162,0.798458,3.93279,92.1725,,458.488,1301.21,1.36605,-1,-1,,200.511,230.331,0.651032,3.93279,91.475,,460.492,1076.38,1.26136,-1,-1,,413.746,678.993,1.09039,-1,-1,,665.306,1525.04,1.55556,-1,-1,,6,6,413.746,678.993,1.09039,3.1,3.49153,413.221
Normal,565.819,,254.673,852.551,1.05575,5,91,,205.241,461.174,0.800623,3.98776,90.91,,461.197,1307.22,1.36495,-1,-1,,203.186,233.337,0.652104,3.98776,90.1,,463.2,1079.39,1.25917,-1,-1,,413.244,688.011,1.00405,-1,-1,,670.746,1534.06,1.55556,-1,-1,,6,6,413.244,688.011,1.00405,3.6,3.15912,413.221
Normal,575.348,,254.673,852.551,1.05981,5,96.5714,,201.908,453.758,0.797949,3.91996,93,,457.855,1299.81,1.36631,-1,-1,,199.886,229.629,0.65078,3.91996,93,,459.859,1075.68,1.26187,-1,-1,,417.74,676.887,1.11113,-1,-1,,664.036,1522.94,1.55556,-1,-1,,6,6,417.74,676.887,1.11113,3,2.48418,413.221
Normal,585.17,,254.673,852.551,1.05576,5,96,,205.226,461.142,0.800611,3.98747,91.1625,,461.183,1307.19,1.36496,-1,-1,,203.172,233.321,0.652098,3.98747,90.375,,463.185,1079.37,1.25918,-1,-1,,414.419,687.963,1.0199,-1,-1,,670.717,1534.01,1.55556,-1,-1,,6,6,414.419,687.963,1.0199,3.5,2.27427,413.221
Normal,595.381,,254.673,852.551,1.05711,5,96.1143,,204.117,458.674,0.799726,3.96489,91.415,,460.07,1304.72,1.36541,-1,-1,,202.074,232.087,0.65166,3.96489,90.65,,462.073,1078.14,1.26008,-1,-1,,413.377,684.26,1.03537,-1,-1,,668.484,1530.31,1.55556,-1,-1,,6,6,413.377,684.26,1.03537,3.4,2.39675,413.221
Normal,605.211,,254.673,852.551,1.05366,5,91,,206.97,465.022,0.801995,4.02299,90.91,,462.932,1311.07,1.36426,-1,-1,,204.898,235.261,0.652783,4.02299,90.1,,464.933,1081.31,1.25778,-1,-1,,416.726,693.784,1.00611,-1,-1,,674.229,1539.83,1.55556,-1,-1,,6,6,416.726,693.784,1.00611,3.6,2.03608,413.221
Normal,615.035,,254.673,852.551,1.05693,5,96.1143,,204.266,459.005,0.799845,3.96792,91.415,,460.22,1305.06,1.36535,-1,-1,,202.221,232.252,0.651719,3.96792,90.65,,462.223,1078.3,1.25996,-1,-1,,413.678,684.757,1.03555,-1,-1,,668.783,1530.81,1.55556,-1,-1,,6,6,413.678,684.757,1.03555,3.4,1.77864,413.221
Normal,625.231,,254.673,852.551,1.05685,5,96.1143,,204.329,459.145,0.799895,3.9692,91.415,,460.283,1305.2,1.36532,-1,-1,,202.283,232.322,0.651744,3.9692,90.65,,462.286,1078.37,1.25991,-1,-1,,413.806,684.967,1.03563,-1,-1,,668.91,1531.02,1.55556,-1,-1,,6,6,413.806,684.967,1.03563,3.4,1.8976,413.221
