s, r2, r3, Result
2.1, 3.845, 4.654999999999999, 461.2005094278535
2.1, 3.865, 4.305, 444.26052074654746
2.1, 3.865, 4.3549999999999995, 446.83821288780126
2.1, 3.865, 4.404999999999999, 449.41296513159597
2.1, 3.865, 4.455, 451.98478738809155
2.1, 3.865, 4.505, 454.55368221944804
2.1, 3.865, 4.555, 457.119652079744
2.1, 3.865, 4.6049999999999995, 459.68270703352914
2.1, 3.865, 4.654999999999999, 462.24284951441507
2.1, 3.8850000000000002, 4.305, 445.30238287839484
2.1, 3.8850000000000002, 4.3549999999999995, 447.8800725733274
2.1, 3.8850000000000002, 4.404999999999999, 450.45482726175277
2.1, 3.8850000000000002, 4.455, 453.0266495182459
2.1, 3.8850000000000002, 4.505, 455.59554434960285
2.1, 3.8850000000000002, 4.555, 458.16151420809956
2.1, 3.8850000000000002, 4.6049999999999995, 460.72456916190464
2.1, 3.8850000000000002, 4.654999999999999, 463.2847116427901
2.1, 3.9050000000000002, 4.305, 446.34376738065976
2.1, 3.9050000000000002, 4.3549999999999995, 448.9214570739115
2.1, 3.9050000000000002, 4.404999999999999, 451.49621176231784
2.1, 3.9050000000000002, 4.455, 454.06803401882985
2.1, 3.9050000000000002, 4.505, 456.6369263075536
2.1, 3.9050000000000002, 4.555, 459.20289870693387
2.1, 3.9050000000000002, 4.6049999999999995, 461.76595366073946
2.1, 3.9050000000000002, 4.654999999999999, 464.32609614160424
2.1, 3.9250000000000003, 4.305, 447.38467213472245
2.1, 3.9250000000000003, 4.3549999999999995, 449.9623642732741
2.1, 3.9250000000000003, 4.404999999999999, 452.53711896169807
2.1, 3.9250000000000003, 4.455, 455.108941218211
2.1, 3.9250000000000003, 4.505, 457.67783350519517
2.1, 3.9250000000000003, 4.555, 460.24380590459583
2.1, 3.9250000000000003, 4.6049999999999995, 462.8068608583808
2.1, 3.9250000000000003, 4.654999999999999, 465.3670006979183
2.1, 3.9450000000000003, 4.305, 448.42510236095984
2.1, 3.9450000000000003, 4.3549999999999995, 451.00279449949454
2.1, 3.9450000000000003, 4.404999999999999, 453.57754918793825
2.1, 3.9450000000000003, 4.455, 456.1493689007493
2.1, 3.9450000000000003, 4.505, 458.7182637297471
2.1, 3.9450000000000003, 4.555, 461.28423612914634
2.1, 3.9450000000000003, 4.6049999999999995, 463.84729108291157
2.1, 3.9450000000000003, 4.654999999999999, 466.407430920708
2.1, 3.9650000000000003, 4.305, 449.46505594180485
2.1, 3.9650000000000003, 4.3549999999999995, 452.042748080359
2.1, 3.9650000000000003, 4.404999999999999, 454.617502768802
2.1, 3.9650000000000003, 4.455, 457.189322479934
2.1, 3.9650000000000003, 4.505, 459.75821730895217
2.1, 3.9650000000000003, 4.555, 462.32418970833083
2.1, 3.9650000000000003, 4.6049999999999995, 464.8872446621166
2.1, 3.9650000000000003, 4.654999999999999, 467.447384498183
2.1, 3.9850000000000003, 4.305, 450.5045332047558
2.1, 3.9850000000000003, 4.3549999999999995, 453.08222534330815
2.1, 3.9850000000000003, 4.404999999999999, 455.65698003175254
2.1, 3.9850000000000003, 4.455, 458.228799741258
2.1, 3.9850000000000003, 4.505, 460.79769457027476
2.1, 3.9850000000000003, 4.555, 463.36366696965445
2.1, 3.9850000000000003, 4.6049999999999995, 465.9267192788813
2.1, 3.9850000000000003, 4.654999999999999, 468.4868617578089
2.1, 4.005, 4.305, 451.54353447693563
2.1, 4.005, 4.3549999999999995, 454.12122661550944
2.1, 4.005, 4.404999999999999, 456.6959787578638
2.1, 4.005, 4.455, 459.2678010118583
2.1, 4.005, 4.505, 461.836695840874
2.1, 4.005, 4.555, 464.4026682402352
2.1, 4.005, 4.6049999999999995, 466.9657205478139
2.1, 4.005, 4.654999999999999, 469.52586302672245
