2019-03-05 18:49:50,271 [[0,0.0,6.000000000000002]]
2019-03-05 18:49:50,271 [[1,228.02739797883075,460.5158176721223]]
2019-03-05 18:49:50,271 [[2,176.91516490100463,332.942452296021]]
2019-03-05 18:49:50,271 [[3,400.38038416561943,830.0091255955468]]
2019-03-05 18:49:50,271 [[4,194.77563943795843,267.8501071321859]]
2019-03-05 18:49:50,271 [[5,440.5693647355446,764.9129537983897]]
2019-03-05 18:49:50,271 [[6,359.87905214456094,602.2858090248775]]
2019-03-05 18:49:50,271 [[7,571.3554772902155,1111.5952822652127]]
2019-03-05 18:50:05,418 [Configuration:]
2019-03-05 18:50:05,418 [0,0,0,2.0,[0.0, 6.000000000000002]]
2019-03-05 18:50:05,418 [0,0,0,2.1,[0.0, 6.000000000000002]]
2019-03-05 18:50:05,418 [0,0,0,2.2,[0.0, 6.000000000000002]]
2019-03-05 18:50:05,418 [1,0,0,2.0,[258.6139614686932, 425.37976076704575]]
2019-03-05 18:50:05,418 [1,0,0,2.1,[235.49132465509018, 431.6700014591928]]
2019-03-05 18:50:05,418 [1,0,0,2.2,[240.03827818649165, 408.69212663433615]]
2019-03-05 18:50:05,418 [0,1,0,2.0,[201.57980504259282, 301.16179030290704]]
2019-03-05 18:50:05,418 [0,1,0,2.1,[209.02056320087019, 288.40685119311536]]
2019-03-05 18:50:05,418 [0,1,0,2.2,[181.85477510694858, 268.1449267267824]]
2019-03-05 18:50:05,418 [1,1,0,2.0,[458.7792201110256, 711.7228820535695]]
2019-03-05 18:50:05,418 [1,1,0,2.1,[450.53176970180107, 673.3393195140433]]
2019-03-05 18:50:05,418 [1,1,0,2.2,[420.650397445764, 656.2063090728735]]
2019-03-05 18:50:05,418 [0,0,1,2.0,[232.32010145081733, 243.87068153450213]]
2019-03-05 18:50:05,418 [0,0,1,2.1,[215.50192431504652, 245.71069611516288]]
2019-03-05 18:50:05,419 [0,0,1,2.2,[213.15921118985125, 229.8987038601548]]
2019-03-05 18:50:05,419 [1,0,1,2.0,[474.11040454139334, 667.9073992463207]]
2019-03-05 18:50:05,419 [1,0,1,2.1,[464.19039110985017, 632.7232989259874]]
2019-03-05 18:50:05,419 [1,0,1,2.2,[435.53652193586765, 633.2562611199778]]
2019-03-05 18:50:05,419 [0,1,1,2.0,[425.6158736836249, 534.6868139776481]]
2019-03-05 18:50:05,419 [0,1,1,2.1,[421.8152803346668, 531.3892320555622]]
2019-03-05 18:50:05,419 [0,1,1,2.2,[391.0543487663908, 471.79914508505937]]
2019-03-05 18:50:05,419 [1,1,1,2.0,[681.03271103629, 957.2783221720572]]
2019-03-05 18:50:05,419 [1,1,1,2.1,[659.0956087311741, 898.5873813898804]]
